authors,#enterseriesname,#enterseriesindex,title,#titleparttwo,series,series_index
"Angela Verdenius","","","Christmas Blue at Flynn's","","","1.0"
"Angi Morgan","","","Ranger Protector","","","1.0"
"Andrea Camilleri","","","The Pyramid of Mud","","","1.0"
"Angela Hunt","","","Judah's Wife","A Novel of the Maccabees","","1.0"
"Amy Ruttan","","","The Surgeon King's Secret Baby","","","1.0"
"Amanda Hocking","","","Between the Blade and the Heart","","","1.0"
"Amanda Renee","","","Wrangling Cupid's Cowboy","","","1.0"
"Amanda Bouchet","Kingmaker Chronicles","3","Heart on Fire","","Kingmaker Chronicles","3.0"
"Amanda Forester","","","Earl Interrupted","","","1.0"
"Amanda Barratt","","","My Heart Belongs in Niagara Falls, New York","","","1.0"
"Alessandro Barbero","","","The Athenian Women","","","1.0"
"Ali Olson","","","The Bull Rider's Twin Trouble","","","1.0"
"Addison M. Conley","","","Falling for Love","A Winter Romance","","1.0"
"Aaron J. French & Stephen Graham Jones & Michelle Belanger & Whitley Strieber & Ronald Malfi & Jonathan Maberry & Richard Chizmar & Scott Sigler & R.S. Belcher & J.D. Horn","","","The Demons of King Solomon","","","1.0"
"A.R. Wilson","Swords of the Bloodline","2","The Sword of Einiko","","Swords of the Bloodline","2.0"
"A.R. Wilson","Swords of the Bloodline","1","The Horsk Dragon","","Swords of the Bloodline","1.0"
"A. J. Finn","","","The Woman in the Window","","","1.0"
"A.D. Justice","","","The Vault Collection [Volume One]","","","1.0"
"Sydney Jane Baily","Defiant Hearts Series","4","An Inconceivable Deception","","Defiant Hearts Series","4.0"
"Sydney Jane Baily","Defiant Hearts Series,","3","An Inescapable Attraction","","Defiant Hearts Series,","3.0"
"Sydney Jane Baily","","","An Impassioned Redemptio","A Defiant Hearts Novella","","1.0"
"Sydney Jane Baily","","","An Irresistible Temptation","","","1.0"
"Sophie Stern","","","Alien Conquest","","","1.0"
"Shawn Chesser","Riker's Apocalypse","1","The Promise","","Riker's Apocalypse","1.0"
"Nora Ash","","","Origin_Ancient Blood_Prequel","","","1.0"
"Lotta Smith","Paranormal in Manhattan Mystery","11","Wicked in Wonderland","Strawberry Éclair Murder_A Cozy Mystery","Paranormal in Manhattan Mystery","11.0"
"Lotta Smith","Paranormal in Manhattan Mystery","1","Wicked as a Christmas Fruitcake","","Paranormal in Manhattan Mystery","1.0"
"Lora Leigh","","","Wake a Sleeping Tiger","","","1.0"
"Lora Leigh","Breeds","30","Bengal's Quest","","Breeds","30.0"
"Lora Leigh","","","Rule Breaker","","","1.0"
"Lora Leigh & Alyssa Day & Meljean Brook & Lucy Monroe","","","Enthralled","","","1.0"
"Lora Leigh","Breeds","27","Stygian's Honor","","Breeds","27.0"
"Lora Leigh & Virginia Kantra & Eileen Wilks & Kimberly Frost","","","Tied With a Bow","","","1.0"
"Lora Leigh","","","Lawe's Justice","","","1.0"
"Lora Leigh","","","Navarro's Promise","","","1.0"
"Lora Leigh","Breeds","23","Primal Kiss","","Breeds","23.0"
"Lora Leigh","","","Styx's Storm","","","1.0"
"Lora Leigh","","","Lion's Heat","","","1.0"
"Lora Leigh","","","Bengal's Heart","","","1.0"
"Lora Leigh","","","Coyote's Mate","","","1.0"
"Lora Leigh & Erin mcCarthy & Nalini Singh & Linda Winstead Jones","","","The Magical Christmas Cat","","","1.0"
"Lora Leigh","","","Too Hot to Touch","","","1.0"
"Lora Leigh","","","Mercury's War","","","1.0"
"Angela Knight & Lora Leigh & Alyssa Day & Virginia Kantra","","","Shifter","","","1.0"
"Lora Leigh","","","Dawn's Awakening","","","1.0"
"Lora Leigh","","","In a Wolf's Embrace","","","1.0"
"Lora Leigh","","","Aiden's Charity","","","1.0"
"Lora Leigh","","","Hot for the Holidays","","","1.0"
"Lora Leigh","","","Jacob's Faith","","","1.0"
"Lora Leigh","Breeds SS","","Baraks Bargain","","Breeds SS","1.0"
"Lora Leigh","","","Wolfe's Hope","","","1.0"
"Lora Leigh","","","Harmony's Way","","","1.0"
"Lora Leigh","","","Tanner's Scheme","","","1.0"
"Lora Leigh","Breeds","6","The Breed Next Door","","Breeds","6.0"
"Lora Leigh","","","Megan's Mark","","","1.0"
"Lora Leigh","","","Soul Deep","","","1.0"
"Lora Leigh","","","Overcome","","","1.0"
"Lora Leigh","","","Elizabeth's Wolf","","","1.0"
"Lora Leigh","","","Kiss of Heat","","","1.0"
"Lora Leigh","Breeds","2","The Man Within","","Breeds","2.0"
"Lora Leigh","Breeds","00.2","He is Male Therefore…","","Breeds","0.2"
"Lora Leigh","Breeds","1","Tempting the Beast","","Breeds","1.0"
"Lora Leigh","Breeds","00.1","Creation","","Breeds","0.1"
"Laura M. Baird","Romance on the Go","2","The Soldier's Final Mission","","Romance on the Go","2.0"
"L.R. Black","","","Santa's Little Helper","","","1.0"
"Lena Bourne","Devil’s Nightmare MC","3","Rook","","Devil’s Nightmare MC","3.0"
"Kenzie Mack","Romance on the Go","1","Good Girl Gone Bad","","Romance on the Go","1.0"
"Jonathan Moeller","Ghost Night","2","Ghost in the Glass","","Ghost Night","2.0"
"Joely Sue Burkhart","Their Vampire Queen","2","Queen Takes King","","Their Vampire Queen","2.0"
"J. M. Madden","Lost and Found Series","5","Embattled Ever After","","Lost and Found Series","5.0"
"J. M. Madden","Lost and Found","16","Brotherhood Protectors","Wish Upon a SEAL","Lost and Found","16.0"
"J. M. Madden","","","Lost and Found Pieces","","","1.0"
"J. M. Madden","","","Mistletoe Mischief","A Lost and Found Series Novella_Roger","","1.0"
